,_id,name,followers,genres,popularity
143,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,2422423,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop christmas', 'pop rock', 'post-teen pop']",79
144,4njdEjTnLfcGImKZu1iSrz,AWOLNATION,808749,"['alternative rock', 'la indie', 'stomp pop']",67
145,3NPpFNZtSTHheNBaWC82rB,X Ambassadors,415878,"['pop', 'pop rock', 'stomp pop']",76
146,7EQ0qTo7fWT7DPxmxtSYEc,Bastille,1914388,"['metropopolis', 'pop', 'tropical house']",75
147,4dwdTW1Lfiq0cM8nBAqIIz,Of Monsters and Men,1622721,"['folk-pop', 'icelandic pop', 'indie folk', 'indie pop', 'metropopolis', 'pop', 'stomp and holler']",71
148,0C0XlULifJtAgn6ZNCW2eu,The Killers,1987143,"['alternative rock', 'garage rock', 'indie christmas', 'indie pop', 'indie rock', 'neo mellow', 'permanent wave', 'pop christmas', 'pop rock', 'rock', 'vegas indie']",76
149,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,1139682,"['neo mellow', 'piano rock', 'pop', 'pop christmas', 'pop punk', 'pop rock', 'post-grunge', 'viral pop']",72
150,07QEuhtrNmmZ0zEcqE9SF6,Owl City,1135851,"['dance pop', 'neo mellow', 'pop', 'pop punk', 'pop rock', 'post-teen pop', 'singer-songwriter', 'viral pop']",68
151,4BxCuXFJrSWGi1KHcVqaU4,Kodaline,566758,"['folk-pop', 'indie anthem-folk', 'indie folk', 'neo mellow', 'pop', 'pop rock', 'shimmer pop', 'shiver pop']",71
152,0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,1231387,"['alternative metal', 'alternative rock', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'rap rock', 'rock']",69
153,3kVUvbeRdcrqQ3oHk5hPdx,Grouplove,473483,"['folk-pop', 'garage rock', 'indie folk', 'indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'pop', 'shimmer pop', 'stomp and holler', 'synthpop']",67
154,6p5JxpTc7USNnBnLzctyd4,Phillip Phillips,307757,"['folk-pop', 'neo mellow', 'pop', 'pop rock', 'singer-songwriter']",60
155,3AQRLZ9PuTAozP28Skbq8V,The Script,1863147,"['boy band', 'celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",75
156,4j56EQDQu5XnL7R3E9iFJT,Young the Giant,634658,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'neo mellow', 'pop', 'shimmer pop', 'stomp and holler']",67
